================================================================================
MOLECULAR RL EXPERIMENT LOG
Date: 2026-02-16 16:10:51
================================================================================

HYPERPARAMETERS:
--------------------
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 4
buffer_size         : 2048
hidden_dim          : 64
max_steps           : 30
input_feats         : 9
num_actions         : 8
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 300
--------------------

TRAINING PROGRESS:
Update   | Reward   | Valid %  | Unique % | Div    | KL       | ExpVar   | Best SMILES (Sample)
------------------------------------------------------------------------------------------------

[INFO]: Started training on cuda
0        | 0.402    | 100.00   | 87.50    | 0.93   | 0.0013   | 0.000    | O=C=O
5        | 0.730    | 100.00   | 100.00   | 0.92   | 0.0035   | 0.024    | C=COC
10       | 0.929    | 100.00   | 87.50    | 0.92   | 0.0040   | 0.124    | CO
15       | 0.911    | 100.00   | 87.50    | 0.91   | 0.0065   | 0.169    | COC
20       | 0.474    | 100.00   | 75.00    | 0.90   | 0.0057   | 0.076    | C
25       | 0.624    | 100.00   | 100.00   | 0.95   | 0.0080   | 0.095    | CO
30       | 0.502    | 100.00   | 87.50    | 0.92   | 0.0037   | 0.098    | C=NOCCNC=C=NNO
35       | 0.615    | 100.00   | 100.00   | 0.92   | 0.0061   | 0.088    | CN=C=NNOON=N
40       | 0.390    | 100.00   | 100.00   | 0.91   | 0.0051   | 0.049    | CNN
45       | 0.543    | 100.00   | 100.00   | 0.93   | 0.0064   | 0.087    | N=CNOOC=NOOOCCOOC=NOOOC=NC=O
50       | 0.372    | 100.00   | 100.00   | 0.92   | 0.0027   | 0.081    | O=NNOC=C=C=COOOOCOOCNN=COO
55       | 0.639    | 100.00   | 87.50    | 0.93   | 0.0113   | 0.066    | C=NOC=N
60       | 0.517    | 100.00   | 100.00   | 0.90   | 0.0036   | 0.070    | CNN
65       | 0.557    | 100.00   | 87.50    | 0.92   | 0.0044   | 0.067    | CCN
70       | 0.538    | 100.00   | 100.00   | 0.94   | 0.0020   | 0.107    | CC=O
75       | 0.362    | 100.00   | 100.00   | 0.94   | 0.0050   | 0.099    | COON
80       | 0.496    | 100.00   | 100.00   | 0.94   | 0.0040   | 0.082    | C
85       | 0.404    | 100.00   | 100.00   | 0.94   | 0.0050   | 0.085    | N=CCOOC=O
90       | 0.457    | 100.00   | 100.00   | 0.93   | 0.0040   | 0.089    | C=NNC=NOON=NNC=O
95       | 0.363    | 100.00   | 100.00   | 0.92   | 0.0038   | 0.079    | O=NNCOOOO
100      | 0.364    | 100.00   | 75.00    | 0.87   | 0.0044   | 0.090    | C
105      | 0.398    | 100.00   | 87.50    | 0.92   | 0.0031   | 0.071    | N=NCNONCCOCCOOOOC=NC=C=NONN=O
110      | 0.596    | 100.00   | 87.50    | 0.94   | 0.0061   | 0.143    | NC(=NOON=CCN=O)NNN=C=NCCO
115      | 0.553    | 100.00   | 100.00   | 0.96   | 0.0021   | 0.100    | C=O
120      | 0.432    | 100.00   | 100.00   | 0.92   | 0.0049   | 0.111    | C=CC
