MOLECULAR RL SOTA LOG
============================================================
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 10
buffer_size         : 2048
hidden_dim          : 64
input_feats         : 9
num_actions         : 11
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 400
============================================================
Update | Reward   | Valid% | Unique% | Div   | KL       | Clip   | ExpVar   | Best   | Sample
----------------------------------------------------------------------------------------------
0      | 0.359    | 100.0  | 75.0    | 0.88  | 0.0076   | 0.12   | -0.000   | 4.76   | C
5      | 0.639    | 100.0  | 75.0    | 0.91  | 0.0098   | 0.15   | 0.034    | 5.46   | COO
10     | 0.749    | 100.0  | 62.5    | 0.78  | 0.0126   | 0.16   | 0.080    | 5.46   | CN
15     | 0.621    | 100.0  | 100.0   | 0.95  | 0.0060   | 0.08   | 0.095    | 5.46   | C=N
20     | 0.446    | 100.0  | 100.0   | 0.95  | 0.0100   | 0.10   | 0.089    | 5.46   | CC(=O)OOONCCN=CNNO
25     | 0.538    | 100.0  | 100.0   | 0.94  | 0.0078   | 0.11   | 0.105    | 5.46   | O=NCNONC=NON=O
30     | 0.398    | 100.0  | 100.0   | 0.94  | 0.0060   | 0.07   | 0.097    | 5.46   | O=NCC=CNC(=NN=NON=C=C=NON=O)OON=O
35     | 0.468    | 100.0  | 87.5    | 0.94  | 0.0095   | 0.10   | 0.136    | 5.46   | C#CONNN(N=O)OON=C(N=O)N=NON=O
40     | 0.568    | 100.0  | 100.0   | 0.96  | 0.0078   | 0.08   | 0.087    | 5.46   | COC
45     | 0.381    | 100.0  | 75.0    | 0.90  | 0.0075   | 0.10   | 0.076    | 5.46   | C#CC=C=NOC=CNON=O
50     | 0.391    | 100.0  | 100.0   | 0.92  | 0.0075   | 0.07   | 0.080    | 5.46   | NCNN=O
55     | 0.592    | 100.0  | 100.0   | 0.94  | 0.0132   | 0.10   | 0.096    | 5.46   | C=C=NOON=CC=NOOONCN=NN=C=CN=CN=C=O
60     | 0.631    | 100.0  | 87.5    | 0.92  | 0.0065   | 0.08   | 0.138    | 5.46   | C=CC
65     | 0.683    | 100.0  | 100.0   | 0.95  | 0.0066   | 0.08   | 0.122    | 5.46   | C=NN=COO
70     | 0.647    | 100.0  | 87.5    | 0.94  | 0.0093   | 0.07   | 0.113    | 5.46   | CC
75     | 0.642    | 100.0  | 75.0    | 0.85  | 0.0068   | 0.07   | 0.092    | 5.46   | COOONOC#COC=NNOON=NOOOOOONC=O
80     | 0.536    | 100.0  | 100.0   | 0.96  | 0.0063   | 0.05   | 0.112    | 5.46   | NCC(=NC#CONC=COOOCOONCNCCNO)OOC=O
85     | 0.623    | 100.0  | 100.0   | 0.93  | 0.0080   | 0.09   | 0.104    | 5.46   | C
90     | 0.261    | 100.0  | 100.0   | 0.90  | 0.0254   | 0.11   | 0.083    | 5.46   | O=CC=C=C=C(OC=NCNON=O)OC=NOO
95     | 0.681    | 100.0  | 75.0    | 0.88  | 0.0074   | 0.10   | 0.120    | 5.46   | COOOC(=C=O)N(C#CC=O)C=C=O
100    | 0.525    | 100.0  | 87.5    | 0.89  | 0.0064   | 0.09   | 0.102    | 5.46   | O=C=CN=CN=CON=C(C=O)NNNOOOO
105    | 0.529    | 100.0  | 100.0   | 0.91  | 0.0070   | 0.06   | 0.102    | 5.46   | O=C=C=C=NN=NC#COONO
110    | 0.602    | 100.0  | 100.0   | 0.96  | 0.0076   | 0.10   | 0.104    | 5.46   | N=CO
115    | 0.650    | 100.0  | 100.0   | 0.95  | 0.0083   | 0.07   | 0.090    | 5.46   | C#CCCN=CN=C(O)OON=C=C=NCN=CC=O
120    | 0.713    | 100.0  | 75.0    | 0.91  | 0.0066   | 0.06   | 0.127    | 5.46   | C=N
125    | 0.741    | 100.0  | 62.5    | 0.78  | 0.0060   | 0.06   | 0.108    | 5.46   | CC(N=NOC#N)=NC#N
130    | 0.748    | 100.0  | 87.5    | 0.89  | 0.0060   | 0.06   | 0.135    | 5.46   | C=CC
135    | 0.818    | 100.0  | 75.0    | 0.88  | 0.0064   | 0.09   | 0.096    | 5.46   | COC
140    | 0.721    | 100.0  | 87.5    | 0.92  | 0.0087   | 0.11   | 0.103    | 5.46   | CC#N
145    | 0.867    | 100.0  | 62.5    | 0.78  | 0.0082   | 0.08   | 0.116    | 5.46   | O=C=NN=NCOCONNON=C=O
150    | 0.771    | 100.0  | 75.0    | 0.92  | 0.0086   | 0.11   | 0.093    | 5.46   | CCC
155    | 0.842    | 100.0  | 100.0   | 0.96  | 0.0100   | 0.08   | 0.126    | 5.46   | O=C=NONCC#CC(=C=NCN=CNN=CO)NNN=O
160    | 0.625    | 100.0  | 87.5    | 0.90  | 0.0106   | 0.16   | 0.132    | 5.46   | CNN=N
165    | 0.638    | 100.0  | 100.0   | 0.97  | 0.0093   | 0.08   | 0.113    | 5.46   | OC=NC=C=C=C=NNOOONN=CN=NOC=C=C=NOO
170    | 0.594    | 100.0  | 100.0   | 0.95  | 0.0090   | 0.09   | 0.119    | 5.46   | C=NNN=NC#CN=NOONOO
