MOLECULAR RL SOTA LOG
============================================================
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 10
buffer_size         : 2048
hidden_dim          : 64
input_feats         : 9
num_actions         : 11
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 400
============================================================
Update | Reward   | Valid% | Unique% | Div   | KL       | Clip   | ExpVar   | Best   | Best SMILES
---------------------------------------------------------------------------------------------------
0      | 0.308    | 100.0  | 75.0    | 0.87  | 0.0086   | 0.15   | -0.000   | 4.73   | N=NC=CCO
5      | 0.601    | 100.0  | 100.0   | 0.96  | 0.0080   | 0.12   | 0.027    | 4.97   | CCNC=CN
10     | 0.603    | 100.0  | 87.5    | 0.94  | 0.0101   | 0.13   | 0.087    | 5.13   | CCCCO
15     | 0.557    | 100.0  | 100.0   | 0.94  | 0.0069   | 0.07   | 0.092    | 5.13   | CCCCO
20     | 0.484    | 100.0  | 87.5    | 0.93  | 0.0069   | 0.07   | 0.086    | 5.13   | CCCCO
25     | 0.468    | 100.0  | 87.5    | 0.92  | 0.0061   | 0.07   | 0.109    | 5.13   | CCCCO
30     | 0.479    | 100.0  | 100.0   | 0.89  | 0.0129   | 0.14   | 0.081    | 5.13   | CCCCO
35     | 0.432    | 100.0  | 87.5    | 0.93  | 0.0128   | 0.11   | 0.083    | 5.13   | CCCCO
40     | 0.501    | 100.0  | 100.0   | 0.95  | 0.0069   | 0.08   | 0.108    | 5.13   | CCCCO
45     | 0.388    | 100.0  | 100.0   | 0.92  | 0.0076   | 0.08   | 0.090    | 5.13   | CCCCO
50     | 0.433    | 100.0  | 100.0   | 0.95  | 0.0091   | 0.08   | 0.125    | 5.13   | CCCCO
55     | 0.385    | 100.0  | 87.5    | 0.91  | 0.0090   | 0.08   | 0.097    | 5.13   | CCCCO
60     | 0.431    | 100.0  | 100.0   | 0.95  | 0.0062   | 0.09   | 0.114    | 5.13   | CCCCO
65     | 0.359    | 100.0  | 87.5    | 0.91  | 0.0070   | 0.09   | 0.104    | 5.13   | CCCCO
70     | 0.514    | 100.0  | 75.0    | 0.82  | 0.0071   | 0.09   | 0.122    | 5.13   | CCCCO
75     | 0.535    | 100.0  | 100.0   | 0.94  | 0.0055   | 0.06   | 0.103    | 5.13   | CCCCO
80     | 0.543    | 100.0  | 87.5    | 0.90  | 0.0071   | 0.11   | 0.086    | 5.13   | CCCCO
85     | 0.419    | 100.0  | 100.0   | 0.92  | 0.0078   | 0.07   | 0.069    | 5.13   | CCCCO
90     | 0.367    | 100.0  | 100.0   | 0.96  | 0.0166   | 0.10   | 0.071    | 5.69   | CNC=CCC#N
95     | 0.768    | 100.0  | 100.0   | 0.96  | 0.0056   | 0.07   | 0.093    | 5.69   | CNC=CCC#N
100    | 0.615    | 100.0  | 87.5    | 0.93  | 0.0075   | 0.08   | 0.106    | 5.69   | CNC=CCC#N
105    | 0.750    | 100.0  | 75.0    | 0.87  | 0.0051   | 0.05   | 0.082    | 5.69   | CNC=CCC#N
110    | 0.668    | 100.0  | 87.5    | 0.94  | 0.0065   | 0.09   | 0.108    | 5.69   | CNC=CCC#N
115    | 0.543    | 100.0  | 100.0   | 0.95  | 0.0086   | 0.09   | 0.099    | 5.69   | CNC=CCC#N
120    | 1.136    | 100.0  | 100.0   | 0.96  | 0.0144   | 0.16   | 0.165    | 5.69   | CNC=CCC#N
125    | 0.897    | 100.0  | 87.5    | 0.95  | 0.0067   | 0.08   | 0.115    | 5.69   | CNC=CCC#N
130    | 0.619    | 100.0  | 100.0   | 0.95  | 0.0083   | 0.10   | 0.088    | 5.69   | CNC=CCC#N
135    | 0.766    | 100.0  | 100.0   | 0.95  | 0.0080   | 0.09   | 0.085    | 5.69   | CNC=CCC#N
140    | 0.620    | 100.0  | 100.0   | 0.94  | 0.0081   | 0.09   | 0.124    | 5.69   | CNC=CCC#N
145    | 0.651    | 100.0  | 75.0    | 0.86  | 0.0080   | 0.09   | 0.095    | 5.69   | CNC=CCC#N
150    | 0.696    | 100.0  | 100.0   | 0.94  | 0.0083   | 0.09   | 0.107    | 5.69   | CNC=CCC#N
155    | 0.551    | 100.0  | 87.5    | 0.93  | 0.0075   | 0.08   | 0.111    | 5.69   | CNC=CCC#N
160    | 0.641    | 100.0  | 87.5    | 0.88  | 0.0081   | 0.10   | 0.116    | 5.69   | CNC=CCC#N
165    | 0.777    | 100.0  | 75.0    | 0.88  | 0.0077   | 0.09   | 0.134    | 5.69   | CNC=CCC#N
170    | 0.592    | 100.0  | 87.5    | 0.93  | 0.0118   | 0.09   | 0.108    | 5.69   | CNC=CCC#N
175    | 0.812    | 100.0  | 87.5    | 0.94  | 0.0055   | 0.06   | 0.106    | 5.69   | CNC=CCC#N
180    | 0.814    | 100.0  | 87.5    | 0.93  | 0.0076   | 0.09   | 0.093    | 5.69   | CNC=CCC#N
185    | 0.669    | 100.0  | 62.5    | 0.83  | 0.0061   | 0.06   | 0.115    | 5.69   | CNC=CCC#N
190    | 0.916    | 100.0  | 62.5    | 0.87  | 0.0066   | 0.07   | 0.121    | 5.69   | CNC=CCC#N
195    | 1.017    | 100.0  | 62.5    | 0.77  | 0.0100   | 0.11   | 0.088    | 5.69   | CNC=CCC#N
200    | 0.888    | 100.0  | 87.5    | 0.92  | 0.0073   | 0.07   | 0.125    | 5.71   | CCCO
205    | 0.322    | 100.0  | 100.0   | 0.91  | 0.1816   | 0.37   | 0.078    | 5.72   | CCCN
210    | 0.941    | 100.0  | 87.5    | 0.93  | 0.0090   | 0.09   | 0.098    | 5.82   | C=CNOC
215    | 0.866    | 100.0  | 75.0    | 0.86  | 0.0102   | 0.10   | 0.101    | 5.82   | C=CNOC
220    | 1.083    | 100.0  | 75.0    | 0.87  | 0.0071   | 0.08   | 0.130    | 5.91   | C=CNOC
225    | 1.015    | 100.0  | 100.0   | 0.94  | 0.0089   | 0.07   | 0.135    | 6.99   | CCC=N
230    | 1.086    | 100.0  | 100.0   | 0.95  | 0.0151   | 0.12   | 0.133    | 7.00   | C=C=NCO
235    | 1.309    | 100.0  | 100.0   | 0.95  | 0.0079   | 0.09   | 0.152    | 7.15   | CCOCC
240    | 1.343    | 100.0  | 87.5    | 0.94  | 0.0073   | 0.08   | 0.153    | 7.15   | CCOCC
245    | 1.401    | 100.0  | 87.5    | 0.93  | 0.0062   | 0.07   | 0.165    | 7.15   | CCOCC
250    | 1.681    | 100.0  | 87.5    | 0.92  | 0.0058   | 0.06   | 0.166    | 7.15   | CCOCC
255    | 1.293    | 100.0  | 100.0   | 0.96  | 0.0112   | 0.14   | 0.093    | 7.30   | CCCCN
260    | 1.470    | 100.0  | 87.5    | 0.93  | 0.0085   | 0.11   | 0.130    | 7.30   | CCCCN
265    | 1.316    | 100.0  | 100.0   | 0.95  | 0.0091   | 0.11   | 0.084    | 7.30   | CCCCN
270    | 1.400    | 100.0  | 62.5    | 0.84  | 0.0084   | 0.09   | 0.153    | 7.30   | CCCCN
275    | 1.593    | 100.0  | 75.0    | 0.92  | 0.0063   | 0.08   | 0.162    | 7.30   | CCCCN
280    | 1.479    | 100.0  | 75.0    | 0.88  | 0.0072   | 0.08   | 0.171    | 7.30   | CCCCN
285    | 1.271    | 100.0  | 87.5    | 0.92  | 0.0098   | 0.10   | 0.096    | 7.30   | CCCCN
290    | 1.472    | 100.0  | 37.5    | 0.75  | 0.0096   | 0.10   | 0.130    | 7.30   | CCCCN
295    | 1.334    | 100.0  | 75.0    | 0.86  | 0.0059   | 0.07   | 0.144    | 7.30   | CCCCN
300    | 1.364    | 100.0  | 87.5    | 0.93  | 0.0074   | 0.08   | 0.163    | 7.30   | CCCCN
305    | 1.451    | 100.0  | 75.0    | 0.87  | 0.0086   | 0.12   | 0.171    | 7.30   | CCCCN
310    | 1.405    | 100.0  | 75.0    | 0.88  | 0.0059   | 0.07   | 0.173    | 7.30   | CCCCN
315    | 1.239    | 100.0  | 75.0    | 0.90  | 0.0087   | 0.09   | 0.143    | 7.30   | CCCCN
320    | 1.732    | 100.0  | 100.0   | 0.97  | 0.0096   | 0.10   | 0.185    | 7.30   | CCCCN
325    | 1.447    | 100.0  | 100.0   | 0.96  | 0.0059   | 0.05   | 0.165    | 7.30   | CCCCN
330    | 1.404    | 100.0  | 87.5    | 0.94  | 0.0075   | 0.07   | 0.162    | 7.30   | CCCCN
335    | 1.295    | 100.0  | 62.5    | 0.78  | 0.0063   | 0.07   | 0.156    | 7.30   | CCCCN
340    | 1.503    | 100.0  | 100.0   | 0.97  | 0.0057   | 0.05   | 0.185    | 7.30   | CCCCN
345    | 1.384    | 100.0  | 100.0   | 0.94  | 0.0085   | 0.09   | 0.151    | 7.30   | CCCCN
350    | 1.752    | 100.0  | 50.0    | 0.64  | 0.0065   | 0.07   | 0.144    | 7.30   | CCCCN
355    | 1.753    | 100.0  | 75.0    | 0.91  | 0.0054   | 0.06   | 0.100    | 7.30   | CCCCN
360    | 1.440    | 100.0  | 87.5    | 0.91  | 0.0052   | 0.06   | 0.149    | 7.30   | CCCCN
365    | 1.591    | 100.0  | 87.5    | 0.93  | 0.0060   | 0.07   | 0.172    | 7.30   | CCCCN
370    | 1.385    | 100.0  | 100.0   | 0.93  | 0.0071   | 0.10   | 0.179    | 7.30   | CCCCN
375    | 1.543    | 100.0  | 75.0    | 0.92  | 0.0074   | 0.09   | 0.180    | 7.30   | CCCCN
380    | 1.347    | 100.0  | 100.0   | 0.96  | 0.0086   | 0.09   | 0.159    | 7.30   | CCCCN
385    | 1.396    | 100.0  | 87.5    | 0.92  | 0.0059   | 0.07   | 0.153    | 7.30   | CCCCN
390    | 1.251    | 100.0  | 87.5    | 0.93  | 0.0104   | 0.14   | 0.130    | 7.30   | CCCCN
395    | 1.555    | 100.0  | 87.5    | 0.94  | 0.0054   | 0.05   | 0.146    | 7.30   | CCCCN
400    | 1.605    | 100.0  | 37.5    | 0.46  | 0.0092   | 0.09   | 0.166    | 7.30   | CCCCN
405    | 1.273    | 100.0  | 75.0    | 0.90  | 0.0075   | 0.09   | 0.101    | 7.30   | CCCCN
410    | 1.438    | 100.0  | 100.0   | 0.93  | 0.0061   | 0.07   | 0.097    | 7.30   | CCCCN
415    | 1.516    | 100.0  | 87.5    | 0.94  | 0.0089   | 0.09   | 0.170    | 7.30   | CCCCN
420    | 1.233    | 100.0  | 75.0    | 0.85  | 0.0090   | 0.07   | 0.128    | 7.30   | CCCCN
425    | 1.255    | 100.0  | 87.5    | 0.94  | 0.0072   | 0.09   | 0.113    | 7.30   | CCCCN
430    | 1.458    | 100.0  | 75.0    | 0.87  | 0.0053   | 0.05   | 0.124    | 7.30   | CCCCN
435    | 1.331    | 100.0  | 75.0    | 0.86  | 0.0061   | 0.07   | 0.112    | 7.30   | CCCCN
440    | 1.507    | 100.0  | 100.0   | 0.95  | 0.0066   | 0.05   | 0.110    | 7.30   | CCCCN
445    | 1.523    | 100.0  | 50.0    | 0.64  | 0.0065   | 0.06   | 0.102    | 7.30   | CCCCN
450    | 1.447    | 100.0  | 100.0   | 0.96  | 0.0065   | 0.08   | 0.157    | 7.30   | CCCCN
455    | 1.553    | 100.0  | 87.5    | 0.94  | 0.0074   | 0.08   | 0.145    | 7.30   | CCCCN
460    | 1.645    | 100.0  | 87.5    | 0.87  | 0.0042   | 0.05   | 0.147    | 7.30   | CCCCN
465    | 1.689    | 100.0  | 75.0    | 0.87  | 0.0065   | 0.08   | 0.168    | 7.30   | CCCCN
470    | 1.651    | 100.0  | 87.5    | 0.90  | 0.0068   | 0.09   | 0.126    | 7.30   | CCCCN
475    | 1.560    | 100.0  | 87.5    | 0.93  | 0.0087   | 0.09   | 0.180    | 7.30   | CCCCN
480    | 1.546    | 100.0  | 75.0    | 0.91  | 0.0062   | 0.07   | 0.165    | 7.30   | CCCCN
485    | 1.571    | 100.0  | 87.5    | 0.95  | 0.0031   | 0.02   | 0.199    | 7.30   | CCCCN
490    | 1.555    | 100.0  | 87.5    | 0.93  | 0.0077   | 0.08   | 0.125    | 7.30   | CCCCN
495    | 1.702    | 100.0  | 100.0   | 0.90  | 0.0073   | 0.09   | 0.163    | 7.30   | CCCCN
500    | 1.336    | 100.0  | 75.0    | 0.87  | 0.0066   | 0.08   | 0.159    | 7.30   | CCCCN
505    | 1.447    | 100.0  | 87.5    | 0.93  | 0.0094   | 0.08   | 0.170    | 7.30   | CCCCN
510    | 1.592    | 100.0  | 87.5    | 0.93  | 0.0095   | 0.09   | 0.147    | 7.30   | CCCCN
515    | 1.532    | 100.0  | 100.0   | 0.92  | 0.0079   | 0.06   | 0.131    | 7.30   | CCCCN
520    | 1.327    | 100.0  | 87.5    | 0.93  | 0.0061   | 0.07   | 0.132    | 7.30   | CCCCN
525    | 1.315    | 100.0  | 100.0   | 0.96  | 0.0103   | 0.10   | 0.123    | 7.30   | CCCCN
530    | 1.477    | 100.0  | 62.5    | 0.81  | 0.0086   | 0.09   | 0.111    | 7.30   | CCCCN
535    | 1.602    | 100.0  | 75.0    | 0.89  | 0.0079   | 0.07   | 0.158    | 7.30   | CCCCN
540    | 1.550    | 100.0  | 87.5    | 0.95  | 0.0058   | 0.05   | 0.162    | 7.30   | CCCCN
545    | 1.347    | 100.0  | 87.5    | 0.93  | 0.0069   | 0.08   | 0.123    | 7.30   | CCCCN
550    | 1.417    | 100.0  | 75.0    | 0.85  | 0.0073   | 0.08   | 0.128    | 7.30   | CCCCN
555    | 1.479    | 100.0  | 62.5    | 0.78  | 0.0051   | 0.04   | 0.159    | 7.30   | CCCCN
560    | 1.229    | 100.0  | 100.0   | 0.95  | 0.0137   | 0.16   | 0.089    | 7.30   | CCCCN
565    | 1.285    | 100.0  | 100.0   | 0.95  | 0.0080   | 0.11   | 0.110    | 7.30   | CCCCN
570    | 1.376    | 100.0  | 100.0   | 0.96  | 0.0065   | 0.06   | 0.119    | 7.30   | CCCCN
575    | 1.494    | 100.0  | 75.0    | 0.84  | 0.0091   | 0.08   | 0.161    | 7.34   | CNCCCC#N
580    | 1.582    | 100.0  | 75.0    | 0.90  | 0.0082   | 0.06   | 0.175    | 7.34   | CNCCCC#N
585    | 1.563    | 100.0  | 62.5    | 0.85  | 0.0073   | 0.08   | 0.179    | 7.34   | CNCCCC#N
590    | 1.426    | 100.0  | 87.5    | 0.90  | 0.0069   | 0.05   | 0.131    | 7.34   | CNCCCC#N
595    | 1.438    | 100.0  | 62.5    | 0.84  | 0.0100   | 0.08   | 0.164    | 7.34   | CNCCCC#N
600    | 1.424    | 100.0  | 62.5    | 0.77  | 0.0053   | 0.05   | 0.170    | 7.34   | CNCCCC#N
605    | 1.457    | 100.0  | 62.5    | 0.77  | 0.0085   | 0.09   | 0.102    | 7.34   | CNCCCC#N
610    | 1.431    | 100.0  | 100.0   | 0.92  | 0.0066   | 0.09   | 0.105    | 7.34   | CNCCCC#N
615    | 1.445    | 100.0  | 87.5    | 0.92  | 0.0088   | 0.09   | 0.132    | 7.34   | CNCCCC#N
620    | 1.506    | 100.0  | 100.0   | 0.93  | 0.0125   | 0.18   | 0.080    | 7.34   | CNCCCC#N
625    | 1.571    | 100.0  | 62.5    | 0.84  | 0.0055   | 0.07   | 0.160    | 7.34   | CNCCCC#N
630    | 1.342    | 100.0  | 87.5    | 0.90  | 0.0055   | 0.06   | 0.152    | 7.34   | CNCCCC#N
635    | 1.511    | 100.0  | 75.0    | 0.88  | 0.0064   | 0.07   | 0.136    | 7.34   | CNCCCC#N
640    | 1.195    | 100.0  | 87.5    | 0.90  | 0.0094   | 0.09   | 0.106    | 7.34   | CNCCCC#N
645    | 1.568    | 100.0  | 87.5    | 0.93  | 0.0067   | 0.06   | 0.143    | 7.34   | CNCCCC#N
650    | 1.391    | 100.0  | 100.0   | 0.96  | 0.0088   | 0.08   | 0.163    | 7.34   | CNCCCC#N
655    | 1.149    | 100.0  | 87.5    | 0.93  | 0.0074   | 0.07   | 0.125    | 7.34   | CNCCCC#N
660    | 1.401    | 100.0  | 87.5    | 0.94  | 0.0089   | 0.11   | 0.125    | 7.34   | CNCCCC#N
665    | 1.406    | 100.0  | 75.0    | 0.88  | 0.0063   | 0.07   | 0.151    | 7.34   | CNCCCC#N
670    | 1.061    | 100.0  | 100.0   | 0.95  | 0.0116   | 0.13   | 0.093    | 7.34   | CNCCCC#N
675    | 1.566    | 100.0  | 87.5    | 0.94  | 0.0154   | 0.09   | 0.135    | 7.34   | CNCCCC#N
680    | 1.488    | 100.0  | 75.0    | 0.86  | 0.0070   | 0.07   | 0.129    | 7.34   | CNCCCC#N
685    | 1.431    | 100.0  | 75.0    | 0.87  | 0.0103   | 0.11   | 0.137    | 7.34   | CNCCCC#N
690    | 1.243    | 100.0  | 87.5    | 0.93  | 0.0088   | 0.10   | 0.111    | 7.34   | CNCCCC#N
695    | 1.563    | 100.0  | 62.5    | 0.77  | 0.0052   | 0.05   | 0.180    | 7.34   | CNCCCC#N
700    | 1.315    | 100.0  | 75.0    | 0.86  | 0.0104   | 0.11   | 0.112    | 7.34   | CNCCCC#N
705    | 1.338    | 100.0  | 100.0   | 0.98  | 0.0063   | 0.09   | 0.130    | 7.34   | CNCCCC#N
710    | 1.259    | 100.0  | 75.0    | 0.87  | 0.0056   | 0.07   | 0.146    | 7.34   | CNCCCC#N
715    | 1.248    | 100.0  | 87.5    | 0.93  | 0.0081   | 0.10   | 0.077    | 7.34   | CNCCCC#N
720    | 1.262    | 100.0  | 75.0    | 0.89  | 0.0053   | 0.07   | 0.138    | 7.34   | CNCCCC#N
725    | 1.299    | 100.0  | 87.5    | 0.94  | 0.0074   | 0.08   | 0.145    | 7.34   | CNCCCC#N
730    | 1.233    | 100.0  | 87.5    | 0.94  | 0.0059   | 0.06   | 0.136    | 7.34   | CNCCCC#N
735    | 1.415    | 100.0  | 100.0   | 0.96  | 0.0077   | 0.08   | 0.179    | 7.34   | CNCCCC#N
740    | 1.541    | 100.0  | 37.5    | 0.61  | 0.0029   | 0.03   | 0.191    | 7.34   | CNCCCC#N
745    | 1.089    | 100.0  | 87.5    | 0.88  | 0.0184   | 0.17   | 0.071    | 7.34   | CNCCCC#N
750    | 1.378    | 100.0  | 87.5    | 0.91  | 0.0064   | 0.06   | 0.150    | 7.34   | CNCCCC#N
755    | 1.532    | 100.0  | 75.0    | 0.88  | 0.0080   | 0.10   | 0.149    | 7.34   | CNCCCC#N
760    | 1.519    | 100.0  | 100.0   | 0.96  | 0.0048   | 0.05   | 0.158    | 7.34   | CNCCCC#N
765    | 1.357    | 100.0  | 87.5    | 0.94  | 0.0058   | 0.07   | 0.160    | 7.34   | CNCCCC#N
770    | 1.528    | 100.0  | 75.0    | 0.88  | 0.0067   | 0.07   | 0.136    | 7.34   | CNCCCC#N
775    | 1.448    | 100.0  | 62.5    | 0.85  | 0.0055   | 0.06   | 0.145    | 7.34   | CNCCCC#N
780    | 1.401    | 100.0  | 75.0    | 0.85  | 0.0076   | 0.09   | 0.184    | 7.34   | CNCCCC#N
785    | 1.509    | 100.0  | 87.5    | 0.93  | 0.0046   | 0.05   | 0.208    | 7.34   | CNCCCC#N
790    | 1.270    | 100.0  | 100.0   | 0.96  | 0.0113   | 0.12   | 0.068    | 7.34   | CNCCCC#N
795    | 1.444    | 100.0  | 100.0   | 0.97  | 0.0082   | 0.08   | 0.180    | 7.34   | CNCCCC#N
800    | 1.456    | 100.0  | 87.5    | 0.93  | 0.0057   | 0.07   | 0.171    | 7.34   | CNCCCC#N
805    | 1.477    | 100.0  | 87.5    | 0.94  | 0.0078   | 0.12   | 0.160    | 7.34   | CNCCCC#N
810    | 1.388    | 100.0  | 100.0   | 0.90  | 0.0100   | 0.09   | 0.164    | 7.34   | CNCCCC#N
815    | 1.583    | 100.0  | 62.5    | 0.78  | 0.0167   | 0.13   | 0.165    | 7.34   | CNCCCC#N
820    | 1.531    | 100.0  | 75.0    | 0.86  | 0.0046   | 0.05   | 0.128    | 7.34   | CNCCCC#N
825    | 1.467    | 100.0  | 100.0   | 0.93  | 0.0080   | 0.09   | 0.145    | 7.34   | CNCCCC#N
830    | 1.476    | 100.0  | 100.0   | 0.97  | 0.0082   | 0.12   | 0.087    | 7.34   | CNCCCC#N
835    | 1.194    | 100.0  | 87.5    | 0.92  | 0.0070   | 0.08   | 0.112    | 7.34   | CNCCCC#N
840    | 1.317    | 100.0  | 100.0   | 0.97  | 0.0097   | 0.15   | 0.118    | 7.34   | CNCCCC#N
845    | 1.445    | 100.0  | 62.5    | 0.86  | 0.0070   | 0.11   | 0.134    | 7.34   | CNCCCC#N
850    | 1.094    | 100.0  | 100.0   | 0.94  | 0.0078   | 0.09   | 0.123    | 7.34   | CNCCCC#N
855    | 1.482    | 100.0  | 100.0   | 0.96  | 0.0057   | 0.07   | 0.149    | 7.34   | CNCCCC#N
860    | 1.499    | 100.0  | 87.5    | 0.93  | 0.0104   | 0.07   | 0.201    | 7.34   | CNCCCC#N
865    | 1.478    | 100.0  | 87.5    | 0.95  | 0.0048   | 0.04   | 0.117    | 7.34   | CNCCCC#N
870    | 1.373    | 100.0  | 75.0    | 0.91  | 0.0070   | 0.10   | 0.133    | 7.34   | CNCCCC#N
875    | 1.612    | 100.0  | 100.0   | 0.97  | 0.0069   | 0.07   | 0.162    | 7.34   | CNCCCC#N
880    | 1.486    | 100.0  | 75.0    | 0.92  | 0.0077   | 0.11   | 0.140    | 7.34   | CNCCCC#N
885    | 1.328    | 100.0  | 75.0    | 0.88  | 0.0068   | 0.07   | 0.104    | 7.34   | CNCCCC#N
890    | 1.420    | 100.0  | 62.5    | 0.85  | 0.0069   | 0.08   | 0.134    | 7.34   | CNCCCC#N
895    | 1.527    | 100.0  | 87.5    | 0.92  | 0.0048   | 0.05   | 0.127    | 7.34   | CNCCCC#N
900    | 1.391    | 100.0  | 87.5    | 0.93  | 0.0082   | 0.10   | 0.127    | 7.34   | CNCCCC#N
905    | 1.284    | 100.0  | 87.5    | 0.93  | 0.0067   | 0.08   | 0.142    | 7.34   | CNCCCC#N
910    | 1.733    | 100.0  | 75.0    | 0.87  | 0.0072   | 0.08   | 0.170    | 7.34   | CNCCCC#N
915    | 1.409    | 100.0  | 50.0    | 0.75  | 0.0065   | 0.08   | 0.175    | 7.34   | CNCCCC#N
920    | 1.244    | 100.0  | 100.0   | 0.96  | 0.0083   | 0.10   | 0.111    | 7.34   | CNCCCC#N
925    | 1.380    | 100.0  | 75.0    | 0.91  | 0.0070   | 0.09   | 0.136    | 7.34   | CNCCCC#N
930    | 1.450    | 100.0  | 87.5    | 0.94  | 0.0053   | 0.06   | 0.173    | 7.34   | CNCCCC#N
935    | 1.293    | 100.0  | 75.0    | 0.86  | 0.0087   | 0.11   | 0.129    | 7.34   | CNCCCC#N
940    | 1.726    | 100.0  | 100.0   | 0.97  | 0.0046   | 0.05   | 0.158    | 7.34   | CNCCCC#N
945    | 1.375    | 100.0  | 87.5    | 0.95  | 0.0093   | 0.10   | 0.138    | 7.34   | CNCCCC#N
950    | 1.526    | 100.0  | 87.5    | 0.94  | 0.0062   | 0.07   | 0.179    | 7.34   | CNCCCC#N
955    | 1.458    | 100.0  | 62.5    | 0.78  | 0.0060   | 0.07   | 0.160    | 7.34   | CNCCCC#N
960    | 1.399    | 100.0  | 75.0    | 0.90  | 0.0085   | 0.11   | 0.156    | 7.34   | CNCCCC#N
