MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 122
input_feats             : 13
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
---------------------------------------------------------------------------------------------------------------------------------
0      | -0.041   | 0.758    | 100.0   | 100.0    | 0.940  | 0.0064   | 0.291  | -0.009  | 0.080  | 0.000  | 5.282   | CC(O)(Cl)Br
5      | 0.205    | 1.030    | 100.0   | 87.5     | 0.935  | 0.0148   | 0.133  | 0.424   | 0.080  | 0.000  | 6.809   | C#S(Br)(Br)CO
10     | 0.463    | 1.425    | 100.0   | 87.5     | 0.853  | 0.0122   | 0.218  | 0.459   | 0.080  | 0.000  | 7.345   | BrC=CNSBr
15     | 0.626    | 1.703    | 100.0   | 100.0    | 0.926  | 0.0165   | 0.160  | 0.379   | 0.080  | 0.000  | 8.028   | CN(CC(O)C=CBr)SBr
20     | 0.796    | 2.000    | 100.0   | 87.5     | 0.928  | 0.0186   | 0.149  | 0.208   | 0.080  | 0.000  | 8.028   | CN(CC(O)C=CBr)SBr
25     | 0.890    | 2.200    | 100.0   | 87.5     | 0.855  | 0.0198   | 0.185  | 0.211   | 0.080  | 0.000  | 8.123   | C#S(Br)(Br)C=COC=CCO
30     | 0.979    | 2.419    | 100.0   | 75.0     | 0.866  | 0.0161   | 0.094  | 0.279   | 0.079  | 0.018  | 8.544   | OCC=C(SBr)SBr
35     | 0.884    | 2.409    | 100.0   | 75.0     | 0.796  | 0.0155   | 0.143  | 0.310   | 0.077  | 0.036  | 8.544   | OCC=C(SBr)SBr
40     | 0.804    | 2.404    | 100.0   | 62.5     | 0.725  | 0.0208   | 0.081  | 0.345   | 0.076  | 0.055  | 8.544   | OCC=C(SBr)SBr
45     | 0.845    | 2.457    | 100.0   | 62.5     | 0.615  | 0.0182   | 0.053  | 0.411   | 0.075  | 0.073  | 8.544   | OCC=C(SBr)SBr
50     | 0.827    | 2.423    | 100.0   | 75.0     | 0.827  | 0.0231   | 0.054  | 0.524   | 0.074  | 0.091  | 8.544   | OCC=C(SBr)SBr
55     | 0.836    | 2.427    | 100.0   | 62.5     | 0.743  | 0.0075   | 0.040  | 0.228   | 0.072  | 0.109  | 8.544   | OCC=C(SBr)SBr
60     | 0.844    | 2.409    | 100.0   | 87.5     | 0.772  | 0.0179   | 0.022  | 0.263   | 0.071  | 0.127  | 8.544   | OCC=C(SBr)SBr
65     | 0.685    | 2.177    | 100.0   | 75.0     | 0.792  | 0.0188   | 0.107  | 0.368   | 0.070  | 0.145  | 8.544   | OCC=C(SBr)SBr
70     | 0.787    | 2.336    | 100.0   | 100.0    | 0.857  | 0.0319   | 0.147  | 0.419   | 0.069  | 0.164  | 8.544   | OCC=C(SBr)SBr
75     | 0.814    | 2.362    | 100.0   | 62.5     | 0.755  | 0.0139   | 0.034  | 0.335   | 0.067  | 0.182  | 8.544   | OCC=C(SBr)SBr
80     | 0.763    | 2.277    | 100.0   | 62.5     | 0.744  | 0.0362   | 0.126  | 0.139   | 0.066  | 0.200  | 8.544   | OCC=C(SBr)SBr
85     | 0.787    | 2.304    | 100.0   | 62.5     | 0.751  | 0.0153   | 0.042  | 0.452   | 0.065  | 0.218  | 8.544   | OCC=C(SBr)SBr
90     | 0.805    | 2.322    | 100.0   | 50.0     | 0.493  | 0.0230   | 0.082  | 0.449   | 0.063  | 0.236  | 8.544   | OCC=C(SBr)SBr
95     | 0.802    | 2.305    | 100.0   | 75.0     | 0.822  | 0.0130   | 0.023  | 0.551   | 0.062  | 0.255  | 8.544   | OCC=C(SBr)SBr
100    | 0.782    | 2.272    | 100.0   | 87.5     | 0.767  | 0.0087   | 0.034  | 0.516   | 0.061  | 0.273  | 8.544   | OCC=C(SBr)SBr
105    | 0.775    | 2.249    | 100.0   | 75.0     | 0.736  | 0.0160   | 0.044  | 0.257   | 0.060  | 0.291  | 8.544   | OCC=C(SBr)SBr
110    | 0.783    | 2.258    | 100.0   | 62.5     | 0.725  | 0.0169   | 0.042  | 0.574   | 0.058  | 0.309  | 8.544   | OCC=C(SBr)SBr
115    | 0.774    | 2.237    | 100.0   | 75.0     | 0.631  | 0.0155   | 0.079  | 0.431   | 0.057  | 0.327  | 8.544   | OCC=C(SBr)SBr
120    | 0.699    | 2.070    | 100.0   | 62.5     | 0.643  | 0.0263   | 0.098  | 0.013   | 0.056  | 0.345  | 8.544   | OCC=C(SBr)SBr
125    | 0.519    | 1.823    | 100.0   | 62.5     | 0.689  | 0.0298   | 0.165  | 0.309   | 0.055  | 0.364  | 8.544   | OCC=C(SBr)SBr
130    | 0.700    | 2.084    | 100.0   | 75.0     | 0.604  | 0.0310   | 0.098  | -0.374  | 0.053  | 0.382  | 8.544   | OCC=C(SBr)SBr
135    | 0.743    | 2.156    | 100.0   | 62.5     | 0.706  | 0.0047   | 0.024  | 0.407   | 0.052  | 0.400  | 8.544   | OCC=C(SBr)SBr
140    | 0.736    | 2.136    | 100.0   | 62.5     | 0.606  | 0.0165   | 0.064  | 0.252   | 0.051  | 0.418  | 8.544   | OCC=C(SBr)SBr
145    | 0.540    | 1.859    | 100.0   | 50.0     | 0.480  | 0.0230   | 0.204  | 0.097   | 0.049  | 0.436  | 8.544   | OCC=C(SBr)SBr
150    | 0.626    | 1.923    | 100.0   | 87.5     | 0.726  | 0.0333   | 0.119  | 0.190   | 0.048  | 0.455  | 8.544   | OCC=C(SBr)SBr
155    | 0.736    | 2.112    | 100.0   | 50.0     | 0.662  | 0.0055   | 0.008  | 0.810   | 0.047  | 0.473  | 8.544   | OCC=C(SBr)SBr
160    | 0.511    | 1.557    | 100.0   | 75.0     | 0.712  | 0.0169   | 0.074  | -0.143  | 0.046  | 0.491  | 8.544   | OCC=C(SBr)SBr
165    | 0.708    | 2.043    | 100.0   | 62.5     | 0.701  | 0.0509   | 0.150  | 0.389   | 0.044  | 0.509  | 8.544   | OCC=C(SBr)SBr
170    | 0.708    | 2.043    | 100.0   | 62.5     | 0.684  | 0.0143   | 0.026  | 0.452   | 0.043  | 0.527  | 8.544   | OCC=C(SBr)SBr
175    | 0.684    | 1.995    | 100.0   | 50.0     | 0.716  | 0.0232   | 0.086  | 0.084   | 0.042  | 0.545  | 8.544   | OCC=C(SBr)SBr
180    | 0.707    | 2.022    | 100.0   | 62.5     | 0.707  | 0.0101   | 0.011  | 0.581   | 0.041  | 0.564  | 8.544   | OCC=C(SBr)SBr
185    | 0.697    | 2.001    | 100.0   | 75.0     | 0.738  | 0.0203   | 0.059  | 0.677   | 0.039  | 0.582  | 8.544   | OCC=C(SBr)SBr
190    | 0.689    | 1.977    | 100.0   | 50.0     | 0.542  | 0.0436   | 0.035  | 0.304   | 0.038  | 0.600  | 8.544   | OCC=C(SBr)SBr
195    | 0.125    | 0.711    | 100.0   | 100.0    | 0.707  | 0.0319   | 0.262  | 0.098   | 0.037  | 0.618  | 8.544   | OCC=C(SBr)SBr
200    | 0.612    | 1.841    | 100.0   | 87.5     | 0.838  | 0.0140   | 0.117  | 0.124   | 0.035  | 0.636  | 8.544   | OCC=C(SBr)SBr
205    | 0.636    | 1.883    | 100.0   | 62.5     | 0.725  | 0.0104   | 0.111  | 0.240   | 0.034  | 0.655  | 8.544   | OCC=C(SBr)SBr
210    | 0.702    | 1.918    | 100.0   | 62.5     | 0.702  | 0.1583   | 0.113  | -0.097  | 0.033  | 0.673  | 8.544   | OCC=C(SBr)SBr
215    | 0.671    | 1.898    | 100.0   | 75.0     | 0.825  | 0.0385   | 0.126  | 0.308   | 0.032  | 0.691  | 8.544   | OCC=C(SBr)SBr
220    | 0.332    | 1.152    | 100.0   | 75.0     | 0.743  | 0.0321   | 0.110  | -0.026  | 0.030  | 0.709  | 8.544   | OCC=C(SBr)SBr
225    | 0.518    | 1.613    | 100.0   | 87.5     | 0.845  | 0.0243   | 0.127  | 0.043   | 0.029  | 0.727  | 8.544   | OCC=C(SBr)SBr
230    | 0.595    | 1.748    | 100.0   | 75.0     | 0.759  | 0.0168   | 0.074  | -0.584  | 0.028  | 0.745  | 8.544   | OCC=C(SBr)SBr
235    | 0.685    | 2.103    | 100.0   | 87.5     | 0.823  | 0.0161   | 0.038  | 0.281   | 0.027  | 0.764  | 8.544   | OCC=C(SBr)SBr
240    | 0.837    | 2.334    | 100.0   | 87.5     | 0.913  | 0.0241   | 0.089  | 0.161   | 0.025  | 0.782  | 8.544   | OCC=C(SBr)SBr
245    | 0.750    | 2.272    | 100.0   | 75.0     | 0.702  | 0.0235   | 0.095  | 0.063   | 0.024  | 0.800  | 8.860   | NC1CC2=CSS21SBr
250    | 0.338    | 1.991    | 100.0   | 75.0     | 0.815  | 0.0341   | 0.179  | -0.031  | 0.023  | 0.818  | 9.108   | NCC1CC2=CSS21SSBr
255    | 0.754    | 2.404    | 100.0   | 87.5     | 0.885  | 0.0143   | 0.036  | 0.231   | 0.021  | 0.836  | 9.137   | NCC1CC2=CSS21SSBr
260    | 0.722    | 2.367    | 100.0   | 75.0     | 0.832  | 0.0136   | 0.077  | 0.238   | 0.020  | 0.855  | 9.440   | NN1CCC2C3CC4=CSS4(SBr)C21C3
265    | 0.745    | 2.415    | 100.0   | 75.0     | 0.839  | 0.0013   | 0.003  | 0.802   | 0.019  | 0.873  | 9.440   | NN1CCC2C3CC4=CSS4(SBr)C21C3
270    | 0.717    | 2.354    | 100.0   | 75.0     | 0.728  | 0.0137   | 0.012  | 0.068   | 0.018  | 0.891  | 10.363  | NCC1CC2=C3CC4CCN=S2[SH]314SBr
275    | 0.762    | 2.451    | 100.0   | 62.5     | 0.703  | 0.0168   | 0.011  | 0.909   | 0.016  | 0.909  | 10.363  | NCC1CC2=C3CC4CCN=S2[SH]314SBr
280    | 0.805    | 2.501    | 100.0   | 62.5     | 0.832  | 0.0216   | 0.045  | 0.563   | 0.015  | 0.927  | 10.363  | NCC1CC2=C3CC4CCN=S2[SH]314SBr
285    | 0.774    | 2.462    | 100.0   | 75.0     | 0.881  | 0.0329   | 0.041  | 0.467   | 0.014  | 0.945  | 10.363  | NCC1CC2=C3CC4CCN=S2[SH]314SBr
290    | 0.631    | 2.255    | 100.0   | 75.0     | 0.722  | 0.0124   | 0.081  | 0.203   | 0.013  | 0.964  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
295    | 0.928    | 2.577    | 100.0   | 50.0     | 0.731  | 0.0269   | 0.083  | -0.143  | 0.011  | 0.982  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
300    | 0.752    | 2.442    | 100.0   | 75.0     | 0.773  | 0.0336   | 0.083  | 0.429   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
305    | 0.816    | 2.548    | 100.0   | 75.0     | 0.839  | 0.0004   | 0.001  | 0.957   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
310    | 0.789    | 2.510    | 100.0   | 75.0     | 0.802  | 0.0051   | 0.044  | 0.727   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
315    | 0.807    | 2.536    | 100.0   | 62.5     | 0.759  | 0.0120   | 0.055  | 0.993   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
320    | 0.790    | 2.511    | 100.0   | 75.0     | 0.837  | 0.0065   | 0.006  | 0.964   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
325    | 0.799    | 2.526    | 100.0   | 75.0     | 0.822  | 0.0014   | 0.013  | 0.987   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
330    | 0.782    | 2.500    | 100.0   | 50.0     | 0.777  | 0.0054   | 0.041  | 0.205   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
335    | 0.599    | 2.272    | 100.0   | 75.0     | 0.775  | 0.0180   | 0.035  | 0.167   | 0.010  | 1.000  | 11.052  | NCCC1CC2CC3CC4=CSS4132SBr
340    | 0.563    | 2.229    | 100.0   | 75.0     | 0.776  | 0.0127   | 0.087  | 0.156   | 0.010  | 1.000  | 11.083  | NCCC1CC2=C3C4=NCCC4[SH]31(SBr)S2
345    | 0.557    | 2.257    | 100.0   | 62.5     | 0.792  | 0.0223   | 0.043  | 0.688   | 0.010  | 1.000  | 11.148  | NCCCC1C2=C(C3=NCC3)S1(SBr)S2
350    | 0.543    | 2.267    | 100.0   | 87.5     | 0.767  | 0.0165   | 0.055  | 0.285   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
355    | 0.587    | 2.357    | 100.0   | 87.5     | 0.768  | 0.0308   | 0.056  | 0.290   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
360    | 0.573    | 2.336    | 100.0   | 75.0     | 0.832  | 0.0308   | 0.011  | 0.957   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
365    | 0.761    | 2.370    | 100.0   | 75.0     | 0.779  | 0.0182   | 0.035  | 0.024   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
370    | 0.591    | 2.300    | 100.0   | 100.0    | 0.885  | 0.0145   | 0.021  | 0.745   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
375    | 0.587    | 2.358    | 100.0   | 100.0    | 0.811  | 0.0142   | 0.026  | 0.570   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
380    | 0.574    | 2.347    | 100.0   | 75.0     | 0.762  | 0.0275   | 0.025  | 0.138   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
385    | 0.595    | 2.351    | 100.0   | 62.5     | 0.841  | 0.0174   | 0.063  | 0.239   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
390    | 0.585    | 2.307    | 100.0   | 87.5     | 0.864  | 0.0248   | 0.025  | 0.393   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
395    | 0.592    | 2.361    | 100.0   | 100.0    | 0.697  | 0.0307   | 0.026  | 0.794   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
400    | 0.583    | 2.389    | 100.0   | 87.5     | 0.811  | 0.0173   | 0.042  | 0.097   | 0.010  | 1.000  | 11.169  | NCCCC1=C2C3=NCCC3S2(SBr)S1
405    | 0.558    | 2.305    | 100.0   | 87.5     | 0.764  | 0.0134   | 0.015  | 0.710   | 0.010  | 1.000  | 11.222  | CC(CN)CCC12CN=C1C1N=CS12SBr
410    | 0.605    | 2.426    | 100.0   | 75.0     | 0.755  | 0.0434   | 0.058  | 0.897   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
415    | 0.585    | 2.396    | 100.0   | 75.0     | 0.795  | 0.0129   | 0.018  | 0.145   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
420    | 0.595    | 2.384    | 100.0   | 87.5     | 0.797  | 0.0143   | 0.043  | 0.788   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
425    | 0.599    | 2.405    | 100.0   | 87.5     | 0.793  | 0.0070   | 0.008  | 0.369   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
