nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0000] R=-0.092 (std=0.474)  valid=1.000  uniq=0.625  div=0.773  kl=0.0054  clip=0.081  ev=-0.001  ent=0.080  curr=0.000  best=4.777  O=c1nc(F)nc[nH]1
[0005] R=-0.001 (std=0.482)  valid=1.000  uniq=1.000  div=0.942  kl=0.0128  clip=0.148  ev=-0.002  ent=0.080  curr=0.000  best=6.174  CCNCC(Cl)=CCO
[0010] R=0.254 (std=0.881)  valid=1.000  uniq=1.000  div=0.943  kl=0.0155  clip=0.270  ev=0.000  ent=0.080  curr=0.000  best=6.174  CCNCC(Cl)=CCO
[0015] R=0.608 (std=1.498)  valid=1.000  uniq=0.875  div=0.823  kl=0.0132  clip=0.095  ev=-0.025  ent=0.080  curr=0.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0020] R=0.793 (std=1.723)  valid=1.000  uniq=1.000  div=0.853  kl=0.0112  clip=0.116  ev=-0.035  ent=0.080  curr=0.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0025] R=0.843 (std=1.771)  valid=1.000  uniq=0.750  div=0.816  kl=0.0147  clip=0.081  ev=-0.087  ent=0.080  curr=0.000  best=6.474  CC=C(F)CCNC(=O)CCO
[0030] R=0.688 (std=1.654)  valid=1.000  uniq=0.875  div=0.915  kl=0.0150  clip=0.113  ev=0.166  ent=0.079  curr=0.018  best=6.474  CC=C(F)CCNC(=O)CCO
[0035] R=0.854 (std=1.783)  valid=1.000  uniq=0.750  div=0.756  kl=0.0174  clip=0.157  ev=0.031  ent=0.077  curr=0.036  best=6.474  CC=C(F)CCNC(=O)CCO
[0040] R=0.927 (std=1.848)  valid=1.000  uniq=0.625  div=0.790  kl=0.0135  clip=0.100  ev=-0.027  ent=0.076  curr=0.055  best=6.474  CC=C(F)CCNC(=O)CCO
[0045] R=0.910 (std=1.822)  valid=1.000  uniq=0.750  div=0.781  kl=0.0191  clip=0.133  ev=-0.346  ent=0.075  curr=0.073  best=6.474  CC=C(F)CCNC(=O)CCO
[0050] R=0.795 (std=1.720)  valid=1.000  uniq=0.750  div=0.835  kl=0.0154  clip=0.086  ev=0.002  ent=0.074  curr=0.091  best=6.474  CC=C(F)CCNC(=O)CCO
[0055] R=0.744 (std=1.694)  valid=1.000  uniq=0.625  div=0.714  kl=0.0259  clip=0.137  ev=-0.001  ent=0.072  curr=0.109  best=6.474  CC=C(F)CCNC(=O)CCO
[0060] R=0.796 (std=1.720)  valid=1.000  uniq=0.250  div=0.223  kl=0.0126  clip=0.073  ev=-0.225  ent=0.071  curr=0.127  best=6.474  CC=C(F)CCNC(=O)CCO
[0065] R=0.787 (std=1.696)  valid=1.000  uniq=0.375  div=0.567  kl=0.0158  clip=0.131  ev=0.022  ent=0.070  curr=0.145  best=6.474  CC=C(F)CCNC(=O)CCO
[0070] R=0.787 (std=1.684)  valid=1.000  uniq=0.625  div=0.581  kl=0.0152  clip=0.094  ev=-0.331  ent=0.069  curr=0.164  best=6.474  CC=C(F)CCNC(=O)CCO
[0075] R=0.768 (std=1.651)  valid=1.000  uniq=0.875  div=0.805  kl=0.0146  clip=0.069  ev=-0.073  ent=0.067  curr=0.182  best=6.474  CC=C(F)CCNC(=O)CCO
[0080] R=0.765 (std=1.629)  valid=1.000  uniq=0.750  div=0.815  kl=0.0213  clip=0.188  ev=-0.070  ent=0.066  curr=0.200  best=6.474  CC=C(F)CCNC(=O)CCO
[0085] R=0.741 (std=1.611)  valid=1.000  uniq=0.625  div=0.756  kl=0.0276  clip=0.143  ev=0.005  ent=0.065  curr=0.218  best=6.474  CC=C(F)CCNC(=O)CCO
